long;lat;nombre;nom_map;objeto;calle_nombre;calle_altura;calle_altura_1;dom_geo;telefono;guardia;fax;web;tipo;tipo_espec;mod_at_1;mod_at_2;depend_adm;director;dom_norma;calle_altura_2;calle_altura_3;barrio;comuna;codigo_postal;codigo_postal_argentino;camas_medicina;camas_cirugía;camas_pediatría;camas_tocoginecología;camas_urgencia;camas_otra;camas_totales
-58.37755085;-34.62884736;HOSPITAL GENERAL DE NIÑOS PEDRO DE ELIZALDE;HOSP. DE ELIZALDE;HOSPITAL;MANUEL A. MONTES DE OCA;40;MANUEL A. MONTES DE OCA 40;40 MONTES DE OCA, MANUEL AV.;4307-5842 / 5844;4307-5442 / 4300-1700;4302-7400;www.elizalde.gov.ar;Hospital de niños;PEDIATRIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Javier Indart;MONTES DE OCA, MANUEL AV. 40;40;MANUEL A. MONTES DE OCA 40;Barracas;Comuna 4;1270;C1270AAN;7.336986301;;;;;210.9205479;218.2575342
-58.41207008;-34.59419197;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;HOSP. GUTIERREZ;HOSPITAL;GALLO;1330;GALLO 1330;1330 GALLO;4962-9247 / 9248 / 9280;4962-9232;4962-3762;www.guti.gov.ar;Hospital de niños;PEDIATRIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. María Cristina Galoppo;GALLO 1330;1330;GALLO 1330;Recoleta;Comuna 2;1425;C1425EFD;169.6657534;119.3479452;;;24.61917808;;313.6328767
-58.40272765;-34.58452834;HOSPITAL DE ODONTOLOGIA DR. RAMON CARRILLO (EX NACIONAL);HOSP. ODONTOLOGICO CARRILLO;HOSPITAL;SANCHEZ DE BUSTAMANTE;2529;SANCHEZ DE BUSTAMANTE 2529;2529 SANCHEZ DE BUSTAMANTE;4805-5521 / 7533;4805-6407;4805-7533;;Hospital especializado;ODONTOLOGIA;AT. AMBULATORIA;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Susana Rita Lisanti;SANCHEZ DE BUSTAMANTE 2529;2529;SANCHEZ DE BUSTAMANTE 2529;Recoleta;Comuna 2;1425;C1425DUY;;;;;;;
-58.38515591;-34.63940413;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO;HOSP. MOYANO;HOSPITAL;BRANDSEN;2570;BRANDSEN 2570;2570 BRANDSEN;4301-3655 / 3659;4301-4522;4303-3655/59;www.moyano.org.ar;Hospital especializado;SALUD MENTAL;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Norma Derito;BRANDSEN 2570;2570;BRANDSEN 2570;Barracas;Comuna 4;1287;C1287ABJ;865.9506849;32;;;;;897.9506849
-58.39131144;-34.63415358;HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO;HOSP. UDAONDO;HOSPITAL;CASEROS;2061;CASEROS 2061;2061 CASEROS AV.;4306-4641 al 4649;4306-4641 al 49 (int. 125);4306-3013;;Hospital especializado;ENF. APAR. DIGESTIVO;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Eduardo Gustavo Sosa;CASEROS AV. 2061;2061;CASEROS 2061;Parque Patricios;Comuna 4;1264;C1264AAA;38.89315068;33.07945205;;;6.082191781;;78.05479452
-58.43494335;-34.60847213;INSTITUTO DE ZOONOSIS L. PASTEUR;INST. PASTEUR;HOSPITAL;DIAZ VELEZ;4821;DIAZ VELEZ 4821;4821 DIAZ VELEZ AV.;4958-9900;4982-8421 / 4504 / 6666;4983-7300;;Hospital especializado;ZOONOSIS;AT. AMBULATORIA;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Oscar Enrique Lencinas;DIAZ VELEZ AV. 4821;4821;DIAZ VELEZ 4821;Caballito;Comuna 6;1405;C1405DCD;;;;;;;
-58.37584335;-34.6302112;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER;HOSP. FERRER;HOSPITAL;DOCTOR ENRIQUE FINOCHIETTO;849;DOCTOR ENRIQUE FINOCHIETTO 849;849 FINOCHIETTO ENRIQUE DR.;4307-1445 / 4677 / 6777 / 6738 / 7474;4307-1445 (int. 145);4307-2567;;Hospital especializado;NEUMONOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Dora Lombardi;FINOCHIETTO ENRIQUE DR. 849;849;DOCTOR ENRIQUE FINOCHIETTO 849;Barracas;Comuna 4;1272;C1272AAA;10.57534247;;;;7.652054795;;18.22739726
-58.38232845;-34.63570224;HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA;HOSP. TOBAR GARCIA;HOSPITAL;DOCTOR RAMON CARRILLO;315;DOCTOR RAMON CARRILLO 315;315 CARRILLO, RAMON, DR.;4305-6108;4304-6666;4304-4911;;Hospital especializado;SALUD MENTAL;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Guillermo Vega;CARRILLO, RAMON, DR. 315;315;DOCTOR RAMON CARRILLO 315;Barracas;Comuna 4;1275;C1275AHG;;;64;;;;64
-58.38212837;-34.63643505;HOSPITAL DE SALUD MENTAL J. T. BORDA;HOSP. BORDA;HOSPITAL;DOCTOR RAMON CARRILLO;375;DOCTOR RAMON CARRILLO 375;375 CARRILLO, RAMON, DR.;4305-6485;4305-6666 / 6485;4304-1200;;Hospital especializado;SALUD MENTAL;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Daniel Cichello;CARRILLO, RAMON, DR. 375;375;DOCTOR RAMON CARRILLO 375;Barracas;Comuna 4;1275;C1275AHG;678.0273973;9.97260274;;;;;688
-58.36012013;-34.63889173;HOSPITAL DE ODONTOLOGIA INFANTIL DON BENITO QUINQUELA MARTIN;HOSP. ODONTOLOGICO INFANTIL QUINQUELA MARTIN;HOSPITAL;DON PEDRO DE MENDOZA;1795;DON PEDRO DE MENDOZA 1795;1795 DON PEDRO DE MENDOZA AV.;4360- 3900 / 4301-4870 / 4834 / 4302-9492 / 9510;4301-4870;4301-4870;;Hospital especializado;ODONTOLOGIA;AT. AMBULATORIA;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Scagnet Gabriela;DON PEDRO DE MENDOZA AV. 1795;1795;DON PEDRO DE MENDOZA 1795;Boca;Comuna 4;1169;C1169AAB;;;;;;;
